original.names,new.names
word_freq_make,make
word_freq_address,address
word_freq_all,all
word_freq_3d,n3d
word_freq_our,our
word_freq_over,over
word_freq_remove,remove
word_freq_internet,internet
word_freq_order,order
word_freq_mail,mail
word_freq_receive,receive
word_freq_will,will
word_freq_people,people
word_freq_report,report
word_freq_addresses,addresses
word_freq_free,free
word_freq_business,business
word_freq_email,email
word_freq_you,you
word_freq_credit,credit
word_freq_your,your
word_freq_font,font
word_freq_000,n000
word_freq_money,money
word_freq_hp,hp
word_freq_hpl,hpl
word_freq_george,george
word_freq_650,n650
word_freq_lab,lab
word_freq_labs,labs
word_freq_telnet,telnet
word_freq_857,n857
word_freq_data,data
word_freq_415,n415
word_freq_85,n85
word_freq_technology,technology
word_freq_1999,n1999
word_freq_parts,parts
word_freq_pm,pm
word_freq_direct,direct
word_freq_cs,cs
word_freq_meeting,meeting
word_freq_original,original
word_freq_project,project
word_freq_re,re
word_freq_edu,edu
word_freq_table,table
word_freq_conference,conference
char_freq_;,cf.semicol
char_freq_(,cf.lparen
char_freq_[,cf.lbrack
char_freq_!,cf.exclaim
char_freq_$,cf.dollar
char_freq_#,cf.pound
capital_run_length_average,crl.avg
capital_run_length_longest,crl.longest
capital_run_length_total,crl.total
spam,spam
